Project ID,Qfield,SQFT,Aerial ,ECD,Address,Feilder,Assigned,Feilding Status ,Data Status,Submitted,Notes
PRJ25176,Qfield_1,"15,077",0,"Tuesday, June 16, 2026","17023 E 104th Way, Commerce City, CO 80022",Varun,Aissgned,Completed,Completed,Submitted,
PRJ25366,Qfield_1,"17,539",0,"Wednesday, June 17, 2026","3688 Clark Ct, Broomfield, CO 80023",Amaranth,Aissgned,Completed,Completed,Submitted,
PRJ25373,Qfield_1,"12,321",0,"Sunday, June 21, 2026","3011 W 134th Ave, Broomfield, CO 80020",Amaranth,Aissgned,Completed,Completed,Submitted,
PRJ25371,Qfield_1,"10,750",0,"Monday, June 22, 2026","13240 Misty St, Broomfield, CO 80020",Amaranth,Aissgned,Completed,Completed,Submitted,
PRJ25367,Qfield_1,"13,150",0,"Monday, June 22, 2026","13780 Troon Ct, Broomfield, CO 80023",Amaranth,Aissgned,Completed,Completed,Submitted,
PRJ25146,Qfield_1,"24,509",0,"Monday, June 22, 2026","2202 E 100th Pl, Thornton, CO 80229",Vineeth,Aissgned,Completed,Completed,Submitted,
PRJ25177,Qfield_1,"12,558",0,"Thursday, June 25, 2026","17895 E 107th Pl, Commerce City, CO 80022",Amaranth,Aissgned,Completed,Completed,Submitted,
PRJ25886,Qfield_1,"10,693",0,"Thursday, June 25, 2026","3790 S Elkhart St, Aurora, CO 80014",Amaranth,Aissgned,Completed,Completed,Submitted,
PRJ25895,Qfield_1,"1,460",0,"Friday, June 26, 2026","3597 S Dawson St, Aurora, CO 80014",Dinesh,Aissgned,Completed,Completed,Submitted,
PRJ25317,Qfield_1,"15,970",0,"Friday, June 26, 2026","10201 W 102nd Ave, Westminster, CO 80021",Dinesh,Aissgned,Completed,Completed,Submitted,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
PRJ3596,Qfield_2,24528,0,"Wednesday, May 27, 2026",Nebraka,Sai Krishna,Aissgned,Completed,Completed,Submitted,
N.604552,Qfield_2,"49,884",0,"Sunday, May 31, 2026",Nebraka,Sai Krishna,Aissgned,Completed,Completed,Submitted,
PRJ23551,Qfield_2,"17,599",0,"Sunday, May 31, 2026",Nebraka,Varun,Aissgned,Completed,Completed,Submitted,
PRJ3579,Qfield_2,"29,516",0,"Sunday, May 31, 2026",Nebraka,Sai Krishna,Aissgned,Completed,Completed,Submitted,
PRJ3474,Qfield_2,"41,385",0,"Sunday, May 31, 2026",Nebraka,Sai Krishna,Aissgned,Completed,Completed,Submitted,
N.574960,Qfield_2,"23,377",0,"Monday, June 1, 2026","6123 N 42nd St, Omaha, NE 68111",Sai Krishna,Aissgned,Completed,Completed,Submitted,
N.563029,Qfield_2,"18,404",0,"Monday, June 1, 2026","1469 Phelps St, Omaha, NE 68107",Vineeth,Aissgned,Completed,Completed,Submitted,
PRJ3603,Qfield_2,"13,198",0,"Monday, June 1, 2026","3302 Spaulding St, Omaha, NE 68111",Varun,Aissgned,Completed,Completed,Submitted,
N.619152,Qfield_2,"10,847",0,"Monday, June 1, 2026","6825 S 81st St, Ralston, NE 68127",Basheer,Aissgned,Completed,Completed,Submitted,
PRJ3591,Qfield_2,"28,862",0,"Monday, June 1, 2026","2810 River Rd Dr, Waterloo, NE 68069",Sai Krishna,Aissgned,Completed,Completed,Submitted,
PRJ3523,Qfield_2,"21,086",0,"Tuesday, June 2, 2026","3913 Fort St, Omaha, NE 68111",Sai Krishna,Aissgned,Completed,Completed,Submitted,
PRJ3518,Qfield_2,"14,687",0,"Tuesday, June 2, 2026","7427 S 69th St, La Vista, NE 68128",Basheer,Aissgned,Completed,Completed,Submitted,
N.572427,Qfield_2,"20,646",0,"Tuesday, June 2, 2026","5015 N 24th St, Omaha, NE 68110",Sai Krishna,Aissgned,Completed,Completed,Submitted,
N.572359,Qfield_2,"18,022",0,"Tuesday, June 2, 2026","6902 S 80th St, La Vista, NE 68128",Vineeth,Aissgned,Completed,Completed,Submitted,
PRJ3498,Qfield_2,"24,658",0,"Tuesday, June 2, 2026","3006 Ohio St, Omaha, NE 68111",Sai Krishna,Aissgned,Completed,Completed,Submitted,
PRJ3509,Qfield_2,"27,314",0,"Tuesday, June 2, 2026","5003 Sunset Dr, Ralston, NE 68127",Basheer,Aissgned,Completed,Completed,Submitted,
N.569513,Qfield_2,"33,413",0,"Tuesday, June 2, 2026","7804 Shirley St, Omaha, NE 68124",Sai Krishna,Aissgned,Completed,Completed,Submitted,
N.568430,Qfield_2,"12,976",0,"Tuesday, June 2, 2026","3606 Grover St, Omaha, NE 68105",Sai Krishna,Aissgned,Completed,Completed,Submitted,
PRJ3408,Qfield_2,"17,758",0,"Wednesday, June 3, 2026","468 N Molley St, Bennington, NE 68007",Sai Krishna,Aissgned,Completed,Completed,Submitted,
N.569347,Qfield_2,"20,867",0,"Wednesday, June 3, 2026","1007 S 33rd St, Omaha, NE 68105",Sai Krishna,Aissgned,Completed,Completed,Submitted,
PRJ3572,Qfield_2,"16,269",0,"Wednesday, June 3, 2026","124 E Charles St, Valley, NE 68064",Nikhil,Aissgned,Completed,Completed,Submitted,
PRJ3472,Qfield_2,"26,403",0,"Wednesday, June 3, 2026","1904 S 32nd Ave, Omaha, NE 68105",Sai Krishna,Aissgned,Completed,Completed,Submitted,
PRJ3532,Qfield_2,"12,022",0,"Wednesday, June 3, 2026","4914 Ames Ave, Omaha, NE 68104",Basheer,Aissgned,Completed,Completed,Submitted,
PRJ3585,Qfield_2,"9,459",0,"Thursday, June 4, 2026","8529 Polk St, Ralston, NE 68127",Basheer,Aissgned,Completed,Completed,Submitted,
PRJ3534,Qfield_2,"16,333",0,"Thursday, June 4, 2026","4608 Ames Ave, Omaha, NE 68104",Sai Krishna,Aissgned,Completed,Completed,Submitted,
PRJ3630,Qfield_2,"24,114",0,"Thursday, June 4, 2026","7402 Susan Ave, La Vista, NE 68128",Sai Krishna,Aissgned,Completed,Completed,Submitted,
PRJ3531,Qfield_2,"14,786",0,"Thursday, June 4, 2026","5324 Pratt St, Omaha, NE 68104",Nikhil,Aissgned,Completed,Completed,Submitted,
PRJ3482,Qfield_1,"34,419",0,"Thursday, June 4, 2026","921 S 85th St, Omaha, NE 68114",Sai Krishna,Aissgned,Completed,Completed,Submitted,
N.563742,Qfield_1,"25,564",0,"Sunday, June 7, 2026","1738 S 17th St, Omaha, NE 68108",Sai Krishna,Aissgned,Completed,Completed,Submitted,
PRJ3479,Qfield_1,"23,697",0,"Monday, June 8, 2026","3504 Center St, Omaha, NE 68105",Sai Krishna,Aissgned,Completed,Completed,Submitted,
PRJ3430,Qfield_1,"22,795",0,"Monday, June 8, 2026","6815 N 55th St, Omaha, NE 68152",Sai Krishna,Aissgned,Completed,Completed,Submitted,
PRJ3443,Qfield_1,"17,270",0,"Monday, June 8, 2026","1624 Deer Park Blvd, Omaha, NE 68108",Nikhil,Aissgned,Completed,Completed,Submitted,
PRJ3658,Qfield_1,"20,500",0,"Tuesday, June 9, 2026","2026 N 18th St, Omaha, NE 68110",Sai Krishna,Aissgned,Completed,Completed,Submitted,
PRJ3676,Qfield_1,"12,369",0,"Tuesday, June 9, 2026","3490 Jefferson St, Omaha, NE 68107",Sai Krishna,Aissgned,Completed,Completed,Submitted,
PRJ3544,Qfield_1,"25,133",0,"Tuesday, June 9, 2026","1714 Charles St, Omaha, NE 68102",Nikhil,Aissgned,Completed,Completed,Submitted,
PRJ3450,Qfield_1,"16,794",0,"Wednesday, June 10, 2026","701 Pacific St, Omaha, NE 68108",Nikhil,Aissgned,Completed,Completed,Submitted,
PRJ3420,Qfield_1,"41,283",0,"Sunday, June 14, 2026","1650 Ave Q, Carter Lake, IA 51510",Sai Krishna,Aissgned,Completed,Completed,Submitted,
PRJ3409,Qfield_1,"17,360",0,"Monday, June 15, 2026","1417 Lindwood Dr, Carter Lake, IA 51510",Sai Krishna,Aissgned,Completed,Completed,Submitted,
PRJ3584,Qfield_1,"10,192",0,"Monday, June 15, 2026","5306 Bay Meadows Rd, Omaha, NE 68127",Poorna/Dinesh,Aissgned,Completed,Completed,Submitted,
N.569364/PRJ3473,Qfield_1,"20,284",0,"Sunday, June 21, 2026","3080 S 31st St, Omaha, NE 68105",Vamshi,Aissgned,Completed,Completed,Submitted,
N.564424/PRJ3438,Qfield_1,"15,750",0,"Sunday, June 21, 2026","1203 S 25th Ave, Omaha, NE 68105",Vamshi,Aissgned,Completed,Completed,Submitted,
PRJ3502,Qfield_1,"22,701",0,"Sunday, June 21, 2026","3012 Vinton St, Omaha, NE 68105",Vamshi,Aissgned,Completed,Completed,Submitted,
N.859704_PRJ3820,Qfield_1,"19,946",0,"Monday, June 22, 2026","20520 Glenn St, Elkhorn, NE 68022",Vamshi,Aissgned,Completed,Completed,Submitted,
